Supreme Court lifts hold on gay marriage in Kansas | The Jakarta Posthttp://www.thejakartapost.com/news/2014/11/13/supreme-court-lifts-hold-gay-marriage-kansas.html
Arizona legislation riles gay rights supporters | The Jakarta Posthttp://www.thejakartapost.com/news/2014/02/21/arizona-legislation-riles-gay-rights-supporters.html
Viewpoint: Gays are us: LGBT rights are human ... - The Jakarta Posthttp://www.thejakartapost.com/news/2012/10/31/viewpoint-gays-are-us-lgbt-rights-are-human-rights.html
View Point: Leaders come and go; gays are here to stay | The ...http://www.thejakartapost.com/news/2014/06/25/view-point-leaders-come-and-go-gays-are-here-stay.html
Chelsea Clinton says gay rights have made progress | The Jakarta ...http://www.thejakartapost.com/news/2014/02/17/chelsea-clinton-says-gay-rights-have-made-progress.html
Surabaya Police ban gay rights group conference | The Jakarta Posthttp://www.thejakartapost.com/news/2010/03/24/surabaya-police-ban-gay-rights-group-conference.html
40 detained during Moscow gay rights rally | The Jakarta Posthttp://www.thejakartapost.com/news/2011/10/01/40-detained-during-moscow-gay-rights-rally.html
Chelsea Clinton eyes global projects, gay rights | The Jakarta Posthttp://www.thejakartapost.com/news/2013/05/28/chelsea-clinton-eyes-global-projects-gay-rights.html
Biden OK with equal rights for married gay couples | The Jakarta Posthttp://www.thejakartapost.com/news/2012/05/07/biden-ok-with-equal-rights-married-gay-couples.html
Conservatives vow to make gay marriage 2012 issue | The Jakarta ...http://www.thejakartapost.com/news/2011/02/25/conservatives-vow-make-gay-marriage-2012-issue.html
Obama considers stepping in on gay marriage case | The Jakarta Posthttp://www.thejakartapost.com/news/2013/02/21/obama-considers-stepping-gay-marriage-case.html
Gay marriage, abortion back in campaign spotlight | The Jakarta Posthttp://www.thejakartapost.com/news/2012/05/13/gay-marriage-abortion-back-campaign-spotlight.html
Gay marriage: In states, a hodgepodge lies ahead | The Jakarta Posthttp://m.thejakartapost.com/news/2013/06/29/gay-marriage-in-states-a-hodgepodge-lies-ahead.html
Activists confront Russian envoy over anti-gay law | The Jakarta Posthttp://www.thejakartapost.com/news/2013/08/09/activists-confront-russian-envoy-over-anti-gay-law.html
North Carolina approves amendment on gay marriage | The Jakarta ...http://www.thejakartapost.com/news/2012/05/09/north-carolina-approves-amendment-gay-marriage.html
Religious-themed campaign for gay equality begins | The Jakarta Posthttp://www.thejakartapost.com/news/2014/11/09/religious-themed-campaign-gay-equality-begins.html
Legalising gay marriages in Asia won't solve Malaysia's LGBT ...http://www.thejakartapost.com/news/2013/07/29/legalising-gay-marriages-asia-wont-solve-malaysias-lgbt-issues-say-activists.html
Obama: Anti-gay bill step backward for Ugandans | The Jakarta Posthttp://www.thejakartapost.com/news/2014/02/17/obama-anti-gay-bill-step-backward-ugandans.html
Gay activists laud Obama speech, now want action | The Jakarta Posthttp://www.thejakartapost.com/news/2013/01/23/gay-activists-laud-obama-speech-now-want-action.html
Gay rights advocates march on DC, divided on Obama | The Jakarta ...http://www.thejakartapost.com/news/2009/10/11/gay-rights-advocates-march-dc-divided-obama.html
Issues: 'Police ban gay rights group conference' | The Jakarta Posthttp://www.thejakartapost.com/news/2010/03/29/issues-%E2%80%98police-ban-gay-rights-group-conference%E2%80%99.html
Some gay-rights foes claim they now are bullied | The Jakarta Posthttp://m.thejakartapost.com/news/2011/06/12/some-gay-rights-foes-claim-they-now-are-bullied.html
Hip-hop shifts anti-gay tone as rights issues rise | The Jakarta Posthttp://www.thejakartapost.com/news/2012/08/23/hip-hop-shifts-anti-gay-tone-rights-issues-rise.html
LGBT people have equal right to be elected to public office | The ...http://www.thejakartapost.com/news/2014/03/19/lgbt-people-have-equal-right-be-elected-public-office.html
Mozilla CEO resigns after furor over gay rights | The Jakarta Posthttp://www.thejakartapost.com/news/2014/04/04/mozilla-ceo-resigns-after-furor-over-gay-rights.html
Without fanfare, Obama advances transgender rights | The Jakarta ...http://m.thejakartapost.com/news/2014/06/22/without-fanfare-obama-advances-transgender-rights.html
Police: Fatal NYC shooting an anti-gay hate crime | The Jakarta Posthttp://www.thejakartapost.com/news/2013/05/19/police-fatal-nyc-shooting-anti-gay-hate-crime.html
Russian protest against anti-gay law turns violent | The Jakarta Posthttp://www.thejakartapost.com/news/2013/01/22/russian-protest-against-anti-gay-law-turns-violent.html
Russia's foreign minister defends anti-gay bill | The Jakarta Posthttp://www.thejakartapost.com/news/2013/02/26/russias-foreign-minister-defends-anti-gay-bill.html
Lech Walesa shocks Poland with anti-gay words | The Jakarta Posthttp://www.thejakartapost.com/news/2013/03/03/lech-walesa-shocks-poland-with-anti-gay-words.html
Gay activists to march in India's biggest ever gay pride parades | The ...http://www.thejakartapost.com/news/2008/06/29/gay-activists-march-india039s-biggest-ever-gay-pride-parades.html
US gay couple sues church over nixed house sale | The Jakarta Posthttp://www.thejakartapost.com/news/2012/09/10/us-gay-couple-sues-church-over-nixed-house-sale.html
